epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,366.478,1.20465,0.63697,1.00328,0.82496,0.78353,0.84425,0.42963,1.57906,0.78499,1.17198,0.0007987,0.0007987,0.0007987
63,371.459,1.19961,0.63132,0.99955,0.83826,0.78091,0.85405,0.44946,1.53824,0.7631,1.15034,0.0007954,0.0007954,0.0007954
64,376.666,1.22851,0.65293,1.0028,0.80077,0.73687,0.79441,0.3951,1.63917,0.8964,1.20551,0.0007921,0.0007921,0.0007921
65,381.627,1.19338,0.62879,0.99537,0.84169,0.77739,0.84101,0.44695,1.54447,0.74577,1.15573,0.0007888,0.0007888,0.0007888
66,386.634,1.18956,0.62526,0.99145,0.82676,0.75805,0.81805,0.45232,1.51475,0.7779,1.13117,0.0007855,0.0007855,0.0007855
67,391.923,1.21549,0.63222,1.00069,0.84467,0.77137,0.84649,0.44026,1.58161,0.7477,1.18085,0.0007822,0.0007822,0.0007822
68,397.153,1.19257,0.61459,0.994,0.82469,0.7911,0.84388,0.41186,1.62892,0.8349,1.20548,0.0007789,0.0007789,0.0007789
69,402.163,1.1915,0.62306,0.99327,0.82671,0.78476,0.83069,0.43023,1.6154,0.77379,1.20824,0.0007756,0.0007756,0.0007756
70,407.425,1.16583,0.60413,0.98945,0.8233,0.75446,0.80347,0.40075,1.63334,0.82428,1.22586,0.0007723,0.0007723,0.0007723
71,412.681,1.19038,0.62037,0.98872,0.82927,0.7577,0.84205,0.42008,1.64462,0.78807,1.20761,0.000769,0.000769,0.000769
72,417.891,1.18379,0.61313,0.98907,0.79612,0.78175,0.82964,0.43782,1.55954,0.77543,1.15464,0.0007657,0.0007657,0.0007657
73,422.886,1.16417,0.6005,0.98437,0.79739,0.83447,0.84317,0.44371,1.53853,0.77528,1.18376,0.0007624,0.0007624,0.0007624
74,428.156,1.18777,0.60084,0.98276,0.82748,0.77782,0.84023,0.4427,1.5533,0.76512,1.17745,0.0007591,0.0007591,0.0007591
75,433.411,1.15237,0.59492,0.97334,0.84367,0.78626,0.85969,0.44666,1.558,0.72369,1.20075,0.0007558,0.0007558,0.0007558
76,438.403,1.13735,0.59863,0.97924,0.8341,0.77961,0.84245,0.45216,1.56841,0.7471,1.19615,0.0007525,0.0007525,0.0007525
77,443.306,1.1483,0.59657,0.98495,0.83518,0.73479,0.82077,0.43984,1.54326,0.8216,1.16715,0.0007492,0.0007492,0.0007492
78,448.416,1.13893,0.59391,0.97214,0.86273,0.73005,0.82606,0.42418,1.66927,0.79623,1.27563,0.0007459,0.0007459,0.0007459
79,453.682,1.13782,0.58587,0.97718,0.84514,0.76895,0.82513,0.42451,1.68642,0.73942,1.31696,0.0007426,0.0007426,0.0007426
80,458.616,1.14481,0.59646,0.9807,0.80775,0.76817,0.81645,0.42459,1.6225,0.75953,1.24903,0.0007393,0.0007393,0.0007393
81,463.867,1.15002,0.59179,0.97597,0.84001,0.75938,0.84281,0.4401,1.59685,0.75289,1.20374,0.000736,0.000736,0.000736
82,469.145,1.1369,0.58451,0.9789,0.82732,0.80646,0.84594,0.44701,1.51568,0.75899,1.14841,0.0007327,0.0007327,0.0007327
83,474.365,1.12006,0.57615,0.97069,0.84216,0.81381,0.85542,0.45389,1.55787,0.72639,1.17667,0.0007294,0.0007294,0.0007294
84,479.388,1.12829,0.57493,0.96766,0.85635,0.76098,0.84132,0.43821,1.61422,0.75252,1.23499,0.0007261,0.0007261,0.0007261
85,484.614,1.11881,0.58128,0.97032,0.82381,0.7921,0.85062,0.44332,1.61062,0.74116,1.23698,0.0007228,0.0007228,0.0007228
